"year","multyear","sample","serial","cbserial","numprec","hhwt","cluster","stateicp","puma","city","strata","gq","gqtype","gqtyped","ownershp","ownershpd","mortgage","owncost","rentgrs","hhincome","valueh","rooms","unitsstr","pernum","perwt","famsize","age","race","raced","hispan","hispand","ancestr1","ancestr1d","citizen","speakeng","tribe","tribed","hcovany","school","educ","educd","gradeatt","gradeattd","schltype","empstat","empstatd","labforce","occ","ind","poverty","stateicp_f","puma_f","city_f","strata_f","gq_f","gqtype_f","gqtyped_f","ownershp_f","ownershpd_f","mortgage_f","owncost_f","rentgrs_f","hhincome_f","valueh_f","rooms_f","unitsstr_f","pernum_f","perwt_f","famsize_f","age_f","race_f","raced_f","hispan_f","hispand_f","ancestr1_f","ancestr1d_f","citizen_f","speakeng_f","tribe_f","tribed_f","hcovany_f","school_f","educ_f","educd_f","gradeatt_f","gradeattd_f","schltype_f","empstat_f","empstatd_f","labforce_f","occ_f","ind_f","poverty_f"
2012,2008,201205,1921086,2008000001021,1,20,2012019210865,21,3501,1190,350117,1,0,0,2,22,0,99999,950,22728,9999999,3,10,1,21,1,25,7,700,2,200,999,9990,0,4,0,0,2,1,10,101,0,0,1,1,10,2,5240,3490,194,"Illinois","3501","Chicago, IL","350117","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","950","22728","N/A","3","50+ family building","1","21","1 family member present","25","Other race, nec","Other race, n.e.c.","Puerto Rican","Puerto Rican","Not Reported","Not Reported","N/A","Yes, speaks very well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","5240","3490","194"
2012,2008,201205,1921089,2008000001083,1,21,2012019210895,21,3510,1190,351017,1,0,0,1,12,1,1533,0,205936,450000,4,10,1,21,1,60,1,100,0,0,148,1480,0,3,0,0,2,1,11,114,0,0,1,3,30,1,0,0,501,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","1533","N/A","205936","$400,000 - 499,999","4","50+ family building","1","21","1 family member present","60","White","White","Not Hispanic","Not Hispanic","Russian","Russian","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Master's degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","501 percent or more of poverty threshold"
2012,2008,201205,1921108,2008000001522,1,20,2012019211085,21,3505,1190,350517,1,0,0,2,22,0,99999,363,16752,9999999,5,5,1,20,1,78,1,100,0,0,89,890,0,3,0,0,2,1,6,63,0,0,1,3,30,1,0,0,155,"Illinois","3505","Chicago, IL","350517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","363","16752","N/A","5","2-family building","1","20","1 family member present","78","White","White","Not Hispanic","Not Hispanic","Swedish","Swedish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","155"
2012,2008,201205,1921110,2008000001547,1,30,2012019211105,21,3510,1190,351017,1,0,0,2,21,0,99999,0,42574,9999999,3,7,1,30,1,40,2,200,0,0,999,9990,0,3,0,0,2,1,6,63,0,0,1,1,10,2,9130,6170,363,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","No cash rent","N/A","Not in universe","N/A","42574","N/A","3","5-9 family building","1","30","1 family member present","40","Black/African American","Black/African American","Not Hispanic","Not Hispanic","Not Reported","Not Reported","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","9130","6170","363"
2012,2008,201205,1921113,2008000001653,2,17,2012019211135,21,3513,1190,351317,1,0,0,2,22,0,99999,928,59113,9999999,4,8,1,17,2,60,1,100,0,0,51,511,0,3,0,0,2,1,6,63,0,0,1,1,10,2,7340,3990,392,"Illinois","3513","Chicago, IL","351317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","928","59113","N/A","4","10-19 family building","1","17","2 family members present","60","White","White","Not Hispanic","Not Hispanic","Italian","Italian (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","7340","3990","392"
2012,2008,201205,1921113,2008000001653,2,17,2012019211135,21,3513,1190,351317,1,0,0,2,22,0,99999,928,59113,9999999,4,8,2,18,2,65,1,100,0,0,50,500,0,3,0,0,2,1,6,63,0,0,1,3,30,1,0,0,392,"Illinois","3513","Chicago, IL","351317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","928","59113","N/A","4","10-19 family building","2","18","2 family members present","65","White","White","Not Hispanic","Not Hispanic","Irish, various subheads,","Irish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","392"
2012,2008,201205,1921129,2008000001974,1,12,2012019211295,21,3513,1190,351317,1,0,0,1,12,1,489,0,18566,150000,5,3,1,12,1,75,1,100,0,0,51,511,0,3,0,0,2,1,4,40,0,0,1,1,10,2,4230,8660,172,"Illinois","3513","Chicago, IL","351317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","489","N/A","18566","150000","5","1-family house, detached","1","12","1 family member present","75","White","White","Not Hispanic","Not Hispanic","Italian","Italian (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 10","Grade 10","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","4230","8660","172"
2012,2008,201205,1921131,2008000002012,1,13,2012019211315,21,3502,1190,350217,1,0,0,2,22,0,99999,640,21340,9999999,5,9,1,12,1,66,2,200,0,0,195,1950,0,3,0,0,2,1,6,63,0,0,1,3,30,1,6050,170,197,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","640","21340","N/A","5","20-49 family building","1","12","1 family member present","66","Black/African American","Black/African American","Not Hispanic","Not Hispanic","European, nec","European, nec","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","6050","170","197"
2012,2008,201205,1921133,2008000002118,2,20,2012019211335,21,3510,1190,351017,1,0,0,1,13,3,2742,0,182461,400000,5,10,1,21,2,31,1,100,0,0,46,460,0,4,0,0,2,1,11,115,0,0,1,1,10,2,2100,7270,501,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","2742","N/A","182461","$400,000+","5","50+ family building","1","21","2 family members present","31","White","White","Not Hispanic","Not Hispanic","Greek","Greek","N/A","Yes, speaks very well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Professional degree beyond a bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","2100","7270","501 percent or more of poverty threshold"
2012,2008,201205,1921133,2008000002118,2,20,2012019211335,21,3510,1190,351017,1,0,0,1,13,3,2742,0,182461,400000,5,10,2,19,2,31,1,100,0,0,51,511,0,4,0,0,2,1,11,115,0,0,1,1,10,2,2100,9470,501,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","2742","N/A","182461","$400,000+","5","50+ family building","2","19","2 family members present","31","White","White","Not Hispanic","Not Hispanic","Italian","Italian (1990-2000, ACS, PRCS)","N/A","Yes, speaks very well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Professional degree beyond a bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","2100","9470","501 percent or more of poverty threshold"
2012,2008,201205,1921141,2008000002248,1,20,2012019211415,21,3502,1190,350217,1,0,0,1,13,3,1518,0,0,300000,4,8,1,20,1,51,1,100,0,0,50,500,0,3,0,0,1,1,10,101,0,0,1,3,30,1,4800,7470,1,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1518","N/A","0","300000","4","10-19 family building","1","20","1 family member present","51","White","White","Not Hispanic","Not Hispanic","Irish, various subheads,","Irish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","4800","7470","1 percent or less of poverty threshold (including 0 or negative income)"
2012,2008,201205,1921142,2008000002252,2,16,2012019211425,21,3513,1190,351317,1,0,0,1,13,3,1804,0,42682,230000,5,3,1,16,2,45,7,700,1,100,210,2101,3,1,0,0,1,1,6,65,0,0,1,1,10,2,4020,8680,275,"Illinois","3513","Chicago, IL","351317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1804","N/A","42682","230000","5","1-family house, detached","1","16","2 family members present","45","Other race, nec","Other race, n.e.c.","Mexican","Mexican","Mexican","Mexican (1990-2000, ACS, PRCS)","Not a citizen","Does not speak English","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","Grade 12","Some college, but less than 1 year","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","4020","8680","275"
2012,2008,201205,1921142,2008000002252,2,16,2012019211425,21,3513,1190,351317,1,0,0,1,13,3,1804,0,42682,230000,5,3,2,17,2,12,7,700,1,100,210,2101,0,4,0,0,2,2,2,23,4,42,2,0,0,0,0,0,275,"Illinois","3513","Chicago, IL","351317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1804","N/A","42682","230000","5","1-family house, detached","2","17","2 family members present","12","Other race, nec","Other race, n.e.c.","Mexican","Mexican","Mexican","Mexican (1990-2000, ACS, PRCS)","N/A","Yes, speaks very well","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","Grade 5, 6, 7, or 8","Grade 6","Grade 5 to grade 8","Grade 6","Public school","N/A","N/A","N/A","","","275"
2012,2008,201205,1921145,2008000002457,1,148,2012019211455,21,3510,1190,351017,4,5,500,0,0,0,99999,0,9999999,9999999,0,0,1,148,1,48,2,200,0,0,902,9020,0,3,0,0,1,1,7,71,0,0,1,2,20,2,4950,6470,0,"Illinois","3510","Chicago, IL","351017","Other group quarters","Non-institutional GQ","Non-institutional group quarters","N/A","N/A","N/A","Not in universe","N/A","N/A ","N/A","N/A","N/A","1","148","1 family member present","48","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","1 year of college","1 or more years of college credit, no degree","N/A","N/A","Not enrolled","Unemployed","Unemployed","Yes, in the labor force","4950","6470","N/A "
2012,2008,201205,1921147,2008000002515,2,30,2012019211475,21,3512,1190,351217,1,0,0,2,22,0,99999,1035,69357,9999999,4,5,1,30,2,55,1,100,0,0,195,1950,3,6,0,0,2,1,10,101,0,0,1,1,10,2,4220,7690,459,"Illinois","3512","Chicago, IL","351217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1035","69357","N/A","4","2-family building","1","30","2 family members present","55","White","White","Not Hispanic","Not Hispanic","European, nec","European, nec","Not a citizen","Yes, but not well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","4220","7690","459"
2012,2008,201205,1921147,2008000002515,2,30,2012019211475,21,3512,1190,351217,1,0,0,2,22,0,99999,1035,69357,9999999,4,5,2,33,2,55,1,100,0,0,195,1950,3,6,0,0,2,1,11,115,0,0,1,1,10,2,2100,770,459,"Illinois","3512","Chicago, IL","351217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1035","69357","N/A","4","2-family building","2","33","2 family members present","55","White","White","Not Hispanic","Not Hispanic","European, nec","European, nec","Not a citizen","Yes, but not well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Professional degree beyond a bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","2100","770","459"
2012,2008,201205,1921178,2008000003501,1,41,2012019211785,21,3504,1190,350417,1,0,0,2,22,0,99999,736,55485,9999999,3,8,1,41,1,44,1,100,0,0,103,1030,3,6,0,0,1,1,7,71,0,0,1,1,10,2,6350,770,473,"Illinois","3504","Chicago, IL","350417","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","736","55485","N/A","3","10-19 family building","1","41","1 family member present","44","White","White","Not Hispanic","Not Hispanic","Bulgarian","Bulgarian","Not a citizen","Yes, but not well","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","1 year of college","1 or more years of college credit, no degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","6350","770","473"
2012,2008,201205,1921179,2008000003512,3,18,2012019211795,21,3502,1190,350217,1,0,0,2,22,0,99999,1953,14191,9999999,6,6,1,18,1,21,8,819,0,0,720,7200,0,3,0,0,2,2,7,71,6,60,3,1,12,2,2020,7870,74,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1953","14191","N/A","6","3-4 family building","1","18","1 family member present","21","Two major races","White and two or more Asian groups","Not Hispanic","Not Hispanic","Filipino","Filipino","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","1 year of college","1 or more years of college credit, no degree","College undergraduate","College undergraduate","Private school (1960,1990-2000,ACS,PRCS)","Employed","Has job, not working","Yes, in the labor force","2020","7870","74"
2012,2008,201205,1921179,2008000003512,3,18,2012019211795,21,3502,1190,350217,1,0,0,2,22,0,99999,1953,14191,9999999,6,6,2,21,1,20,1,100,0,0,51,511,0,3,0,0,2,2,7,71,6,60,3,1,10,2,2020,7870,19,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1953","14191","N/A","6","3-4 family building","2","21","1 family member present","20","White","White","Not Hispanic","Not Hispanic","Italian","Italian (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","1 year of college","1 or more years of college credit, no degree","College undergraduate","College undergraduate","Private school (1960,1990-2000,ACS,PRCS)","Employed","At work","Yes, in the labor force","2020","7870","19"
2012,2008,201205,1921179,2008000003512,3,18,2012019211795,21,3502,1190,350217,1,0,0,2,22,0,99999,1953,14191,9999999,6,6,3,21,1,20,1,100,0,0,178,1780,0,3,0,0,2,2,7,71,6,60,3,3,30,1,5240,8680,28,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1953","14191","N/A","6","3-4 family building","3","21","1 family member present","20","White","White","Not Hispanic","Not Hispanic","Slav","Slav","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","1 year of college","1 or more years of college credit, no degree","College undergraduate","College undergraduate","Private school (1960,1990-2000,ACS,PRCS)","Not in labor force","Not in Labor Force","No, not in the labor force","5240","8680","28"
2012,2008,201205,1921181,2008000003605,2,53,2012019211815,21,3502,1190,350217,1,0,0,2,22,0,99999,1761,80027,9999999,4,7,1,52,1,23,1,100,0,0,32,321,0,3,0,0,2,2,11,114,7,70,3,1,10,2,2300,8470,328,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1761","80027","N/A","4","5-9 family building","1","52","1 family member present","23","White","White","Not Hispanic","Not Hispanic","German","German (1990-2000, ACS/PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","5+ years of college","Master's degree","Graduate or professional school","Graduate or professional school","Private school (1960,1990-2000,ACS,PRCS)","Employed","At work","Yes, in the labor force","2300","8470","328"
2012,2008,201205,1921181,2008000003605,2,53,2012019211815,21,3502,1190,350217,1,0,0,2,22,0,99999,1761,80027,9999999,4,7,2,71,1,22,1,100,0,0,148,1480,0,3,0,0,2,2,11,114,7,70,3,1,10,2,2310,7860,355,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1761","80027","N/A","4","5-9 family building","2","71","1 family member present","22","White","White","Not Hispanic","Not Hispanic","Russian","Russian","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","5+ years of college","Master's degree","Graduate or professional school","Graduate or professional school","Private school (1960,1990-2000,ACS,PRCS)","Employed","At work","Yes, in the labor force","2310","7860","355"
2012,2008,201205,1921191,2008000003779,2,18,2012019211915,21,3515,1190,351517,1,0,0,1,13,3,1515,0,16219,285000,12,5,1,19,2,66,2,200,0,0,902,9020,0,3,0,0,2,2,7,71,6,60,3,2,20,2,430,9090,119,"Illinois","3515","Chicago, IL","351517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1515","N/A","16219","285000","12","2-family building","1","19","2 family members present","66","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","1 year of college","1 or more years of college credit, no degree","College undergraduate","College undergraduate","Private school (1960,1990-2000,ACS,PRCS)","Unemployed","Unemployed","Yes, in the labor force","","9090","119"
